حوزه شغلی,عنوان شغلی,شرکت,شهر,حقوق,برچسب‌های آگهی,نمره شرکت
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,مهندس زیرساخت,رسالت سلامت ایرانیان,تهران,50 - 70 میلیون تومان,ندارد,نظری ثبت نشده است
علوم داده / هوش مصنوعی,متخصص هوش مصنوعی - آقا,فناوران نوین پرداز نصیر,قم,30 - 60 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه نویس Backend - آقا,زیرساخت امن خدمات تراکنشی,تهران,70 - 90 میلیون تومان,ندارد,نظری ثبت نشده است
مسئول دفتر / کارمند اداری و ثبت اطلاعات / تایپیست,مسئول دفتر - خانم,مرکز مشاوره آترون,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه‌نویس Full-Stack,اکادمی هوانوردی فروز سپهر سام,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
علوم داده / هوش مصنوعی,کارشناس علوم داده,شرکت اعتبارسنجی ایران,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
مدیر محصول / مالک محصول,کارشناس محصول,شرکت اعتبارسنجی ایران,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
علوم داده / هوش مصنوعی,متخصص هوش مصنوعی (علم داده),وصال گشت رُهام,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,طراح سایت (Wordpress),فروشگاه کاریزما,بوشهر,توافقی / نامشخص,امکان دورکاری,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,توسعه‌دهنده بکند (Mid-Level Back-End Developer-.Net),برقاپ,تهران,60 - 80 میلیون تومان,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,برنامه‌نویس ارشد فول‌استک,گروه اِسفا,تهران,80 - 100 میلیون تومان,ندارد,4.267128116387874
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,کارشناس ارشد تست نفوذ,اطلس فناوران رازبان,اصفهان,توافقی / نامشخص,امکان دورکاری,نظری ثبت نشده است
مهندسی برق,کارشناس برق الکترونیک,هامین سبز فام,ایلام,توافقی / نامشخص,ندارد,نظری ثبت نشده است
مهندسی صنایع / مدیریت تولید / مدیریت پروژه / مدیریت عملیات,مدیر برنامه‌ریزی سفارشات,گروه صنعتی زال ایرانیان (قهوه لمیز),تهران,توافقی / نامشخص,ندارد,3.976800728919695
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,Site Reliability Engineer,فناپ,تهران,توافقی / نامشخص,ندارد,3.9809000566004875
شبکه / DevOps / پشتیبانی سخت افزاری و نرم افزاری,کارشناس استقرار فرآیند,سازمانی فعال در حوزه نفت، گاز و پتروشیمی,تهران,توافقی / نامشخص,ندارد,نظری ثبت نشده است
علوم داده / هوش مصنوعی,متخصص هوش مصنوعی,شرکت پردازش هوشمند زمرد,اصفهان,توافقی / نامشخص,ندارد,نظری ثبت نشده است
توسعه نرم افزار و برنامه نویسی,توسعه‌دهنده فول‌استک ارشد,بارمان ایکاد,تهران,توافقی / نامشخص,امکان دورکاری,نظری ثبت نشده است
